Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Fertility rate, total (births per woman)",5.754,5.904,6.061,6.206,6.32,6.385,6.384,6.317,6.184,5.986,5.725,5.403,5.036,4.644,4.245,3.861,3.51,3.202,2.945,2.747,2.613,2.546,2.533,2.556,2.602,2.65,2.678,2.676,2.634,2.551,2.428,2.276,2.111,1.952,1.806,1.684,1.59,1.522,1.477,1.453,1.447,1.455,1.469,1.486,1.502,1.513,1.521,1.526,1.531,1.535,1.539,1.544,1.549,1.555,1.562,1.569,0
"Unemployment, total (% of total labor force) (national estimate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.300000191,5.400000095,4.900000095,3.799999952,3.200000048,2.299999952,1.899999976,1.799999952,2,2,2,2.599999905,2.5,2.299999952,2.299999952,2.599999905,2.799999952,2.900000095,3,3.099999905,3.099999905,3.099999905,3.099999905,3.599999905,4,4.300000191,4.199999809,4.199999809,4.099999905,4,4.199999809,4.300000191,4.099999905,4.099999905,4.099999905,4.050000191,4.099999905,0,0
"Air transport, passengers carried",0,0,0,0,0,0,0,0,0,0,0,0,0,0,710000,1000000,1050000,1110000,1540000,2519000,2568000,3236000,3942000,3836000,5000000,7300000,10000000,12500000,17000000,11080000,16596100,19520000,27345000,31312500,37601000,47564500,51770100,52277000,53234000,55853100,61891807,72660653,83671798,86040642,119789024,136721623,158013351,183613132,191001220,229062099,266293020,292160158,318475924,352795296,390878784,436183969,0
"Birth rate, crude (per 1,000 people)",20.86,18.02,37.01,43.37,39.14,37.88,35.05,33.96,35.59,34.11,33.43,30.65,29.77,27.93,24.82,23.01,19.91,18.93,18.25,17.82,18.21,20.91,22.28,20.19,19.9,21.04,22.43,23.33,22.37,21.58,21.06,19.68,18.27,18.09,17.7,17.12,16.98,16.57,15.64,14.64,14.03,13.38,12.86,12.41,12.29,12.4,12.09,12.1,12.14,12.13,11.9,11.93,12.1,12.08,12.37,12.1,0
"Central government debt, total (% of GDP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cost of business start-up procedures (% of GNI per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,15.9,13.6,9.3,8.4,8.4,4.9,4.5,3.6,2.1,1.9,0.9,0.7,0.7
Cost to export (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.5,214.5,214.5,253,275,275,275,319,823,823,0,0
Consumer price index (2010 = 100),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,91.75,94.175,96.65,98.58333333,100,102
Cost to import (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.5,236.5,236.5,299.8,299.8,299.8,299.8,338.3,800,800,0,0
"Current education expenditure, total (% of total expenditure in public institutions)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.52425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Death rate, crude (per 1,000 people)",25.43,14.24,10.02,10.04,11.5,9.5,8.83,8.43,8.21,8.03,7.6,7.32,7.61,7.04,7.34,7.32,7.25,6.87,6.25,6.21,6.34,6.36,6.6,6.9,6.82,6.78,6.86,6.72,6.64,6.54,6.67,6.7,6.64,6.64,6.49,6.57,6.56,6.51,6.5,6.46,6.45,6.43,6.41,6.4,6.42,6.51,6.81,6.93,7.06,7.08,7.11,7.14,7.15,7.16,7.16,7.1,0
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57765,0,0,0,0,0,0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01746,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4.26802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01746,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4.26802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.52637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.316,0,0,0,0,0,0
