Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Fertility rate, total (births per woman)",2.37,2.45,2.44,2.51,2.54,2.5,2.53,2.48,2.38,2.21,2.03,1.92,1.71,1.54,1.51,1.45,1.45,1.4,1.38,1.38,1.44,1.43,1.41,1.33,1.29,1.37,1.43,1.43,1.46,1.42,1.45,1.33,1.29,1.28,1.24,1.25,1.3,1.35,1.36,1.36,1.38,1.35,1.34,1.34,1.36,1.34,1.33,1.37,1.38,1.36,1.39,1.39,1.41,1.42,1.47,1.5,0
"Unemployment, total (% of total labor force) (national estimate)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.449999809,6.670000076,6.869999886,6.610000134,6.820000172,6.320000172,5.710000038,4.889999866,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.819999695,9.859999657,9.789999962,8.859999657,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.519999981,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,0
"Air transport, passengers carried",0,0,0,0,0,0,0,0,0,0,6498000,7029200,7919100,7371300,8886900,9369200,10418600,10907500,11709800,12843900,13046400,12964400,12755000,13099900,14051800,14551300,15174000,17011400,17894900,19056900,22146900,24829500,27577800,29362600,32465300,34680100,40118400,45804500,49279800,54652800,57962865,56389365,61889678,72693124,82099657,90788848,99647314,106101747,107941584,103396735,97330734.28,107042775.8,105978474.5,109062321.5,111589293.6,115540886,0
"Birth rate, crude (per 1,000 people)",17.3,17.9,17.8,18.1,18,17.4,17.2,16.5,15.7,14.7,13.4,12.9,11.5,10.3,10.2,9.9,10.2,10.3,10.4,10.5,11.1,11,11,10.6,10.4,10.5,10.9,11.2,11.4,11.2,11.4,10.4,10,9.8,9.5,9.4,9.7,9.9,9.6,9.4,9.3,8.9,8.7,8.6,8.6,8.3,8.2,8.3,8.3,8.1,8.3,8.3,8.4,8.5,8.8,9,0
"Central government debt, total (% of GDP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.86530337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.84797253,53.38423747,55.15977464,52.23335598,0,0,0
Cost of business start-up procedures (% of GNI per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,6.1,4.9,5.3,5.8,5.8,4.9,5,4.8,5,5,8.9,2,1.9
Cost to export (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,770,770,852,902,902,902,902,905,1015,0,0
Consumer price index (2010 = 100),36.47540339,37.30585292,38.380931,39.5268226,40.45383603,41.76066746,43.27350187,43.96876194,44.6833348,45.52022192,47.08455708,49.5501553,52.27325725,55.92981022,59.82455414,63.37810561,66.10120756,68.54105541,70.38220708,73.27912404,77.25111908,82.13725236,86.46331503,89.29585606,91.44601221,93.44166612,93.32485431,93.55069048,94.74217102,97.37433063,100,70.18732394,73.75096605,77.0218039,79.13570784,80.4997472,81.66382268,83.19925966,83.9776905,84.45617551,85.69880823,87.39894991,88.64072006,89.55746312,91.0492541,92.45770481,93.91615968,96.07467289,98.59988332,98.90824235,100,102.0751729,104.1253438,105.692141,106.6505542,106.900575,107.4172848
Cost to import (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,765,765,887,937,937,937,937,940,1050,0,0
"Current education expenditure, total (% of total expenditure in public institutions)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.99922,0,0,0,0,0,0,0,92.72689,92.67983,92.39442,91.81843,90.4096,90.80906,92.42632,92.57313,0,0,0
"Death rate, crude (per 1,000 people)",12,11.6,11.9,12,11.6,12,11.9,11.9,12.6,12.7,12.5,12.3,12.3,12.2,12.1,12.6,12.3,11.9,12.2,12.1,12.2,12.2,12,12,11.8,12,11.9,11.6,11.5,11.5,11.6,11.4,11,11.1,10.9,10.8,10.8,10.5,10.4,10.3,10.2,10.1,10.2,10.3,9.9,10.1,10,10.1,10.3,10.4,10.5,10.6,10.8,11.1,10.7,11.3,0
