Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Fertility rate, total (births per woman)",2.001,2.05,2.01,2.02,2.05,2.139,1.58,2.02,2.13,2.13,2.135,2.16,2.14,2.14,2.05,1.909,1.85,1.8,1.79,1.77,1.75,1.74,1.77,1.8,1.81,1.76,1.72,1.69,1.66,1.57,1.54,1.53,1.502,1.458,1.5,1.422,1.425,1.388,1.384,1.342,1.359,1.33,1.32,1.29,1.29,1.26,1.32,1.34,1.37,1.37,1.39,1.39,1.41,1.43,1.42,1.46,
"Unemployment, total (% of total labor force) (national estimate)",1.659999967,1.450000048,1.279999971,1.269999981,1.149999976,1.190000057,1.330000043,1.25999999,1.169999957,1.120000005,1.139999986,1.230000019,1.399999976,1.279999971,1.370000005,1.879999995,2.00999999,2.019999981,2.24000001,2.089999914,2.019999981,2.210000038,2.359999895,2.650000095,2.720000029,2.619999886,2.769999981,2.839999914,2.50999999,2.25999999,2.099999905,2.089999914,2.160000086,2.50999999,2.890000105,3.150000095,3.349999905,3.390000105,4.110000134,4.679999828,4.730000019,5.039999962,5.369999886,5.25,4.710000038,4.420000076,4.130000114,3.849999905,3.980000019,5.079999924,5.070000172,4.550000191,4.349999905,4.03000021,3.579999924,3.329999924,
"Air transport, passengers carried",0,0,0,0,0,0,0,0,0,0,16315100,17880500,20169500,25393100,27485700,27281400,29566000,36177400,40554700,45367800,45144500,48061200,46394200,46554000,50452800,51294700,52489800,57757700,62087500,69321696,76223800,78719800,81378400,80063904,83913504,91797000,95913504,94997600,101701200,105994496,109123312,107823469,109037841,103988547,101740600,102279015,102845319,99842338,97022471,86896527,109617021,89788818,98907859,107573000,110547000,113762000,
"Birth rate, crude (per 1,000 people)",17.3,17,17.1,17.4,17.8,18.7,13.8,19.4,18.7,18.5,18.7,19.1,19.2,19.4,18.4,17,16.2,15.4,14.8,14.1,13.5,13,12.8,12.7,12.5,11.9,11.4,11.1,10.8,10.2,10,9.9,9.8,9.6,10,9.54,9.6,9.5,9.6,9.3,9.4,9.3,9.3,9.2,8.693604565,8.413292219,8.65,8.63,8.7,8.5,8.5,8.3,8.2,8.2,8,7.9,
"Central government debt, total (% of GDP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.39033392,39.37717848,40.20686752,43.27953157,0,0,0,0,0,0,0,0,0,0,0,138.742147,139.5877085,139.0111535,147.3420525,160.554054,168.4749534,181.776058,187.7330606,192.7047536,196.6436311,0,
Cost of business start-up procedures (% of GNI per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,10.6,10.7,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,
Cost to export (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574.6,574.6,574.6,574.6,574.6,588.3,588.3,588.3,829.3,829.3,0,
Consumer price index (2010 = 100),18.66952445,19.67856109,21.0114281,22.62119353,23.48943436,25.03818827,26.31004376,27.35662595,28.82559557,30.33680393,32.664628,34.73896933,36.42176833,40.65375788,50.07576611,55.97389327,61.23055746,66.21230893,69.00308944,71.55228,77.14217171,80.93263479,83.13193644,84.68977512,86.63082544,88.39693132,88.93009535,89.05505568,89.64653453,91.68755311,94.47000293,97.58568028,99.2518179,100.5097518,101.2011989,101.0762386,101.2095296,102.9922968,103.6754133,103.3338551,102.6590693,101.8993352,100.958301,100.6993007,100.6906674,100.4057671,100.656134,100.7165674,102.1065354,100.7252007,100,99.7323664,99.68056635,100.0259,102.7885695,103.6001036,
Cost to import (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.1,711.1,711.1,711.1,711.1,719.6,719.6,719.6,1021.3,1021.3,0,
"Current education expenditure, total (% of total expenditure in public institutions)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.17876,87.50535,88.1096,88.82375,89.18978,88.89959,89.45788,90.93512,90.53966,90.96673,90.70199,0,86.73088,87.49195,88.98098,88.09778,86.10178,0,
"Death rate, crude (per 1,000 people)",7.6,7.4,7.5,7,6.9,7.1,6.8,6.7,6.8,6.8,6.9,6.5,6.4,6.6,6.4,6.2,6.2,6,6,5.9,6.1,6.1,6,6.2,6.2,6.2,6.2,6.7,6.5,6.4,6.7,6.7,6.9,7.1,7.1,7.41,7.1,7.3,7.5,7.8,7.7,7.7,8.1,8.4,8.050859795,8.530753759,8.53,8.71,9.1,9.1,9.5,9.9,10,10.1,10.1,10.2,
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,9.47812,0,0,0,0,0,0,0,0,0,14.31461,0,0,0,0,0,0,0,0,0,21.13489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,9.47812,0,0,0,0,0,0,0,0,0,14.31461,0,0,0,0,0,0,0,0,0,21.13489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,99.07039,0,0,0,0,0,0,0,0,0,99.60074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.86057,0,0,0,0,0,
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,38.57977,0,0,0,0,0,0,0,0,0,54.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.61339,0,0,0,0,0,
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Electricity production from renewable sources, excluding hydroelectric (kWh)",0,0,0,0,0,0,0,0,0,0,0,0,0,269000000,100000000,100000000,200000000,300000000,600000000,900000000,900000000,896000000,9892000000,11031000000,12094000000,12700000000,13804000000,14811000000,15987000000,17048000000,11312000000,11598000000,11627000000,11369000000,12215000000,13993000000,14563000000,15040000000,13757000000,14137000000,13953000000,13811000000,14537000000,15815000000,16832000000,18477000000,19287000000,20590000000,20334000000,20814000000,37857000000,39959000000,42796000000,51223000000,63464000000,79673000000,
Emigration rate of tertiary educated (% of total tertiary educated population),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.321688751,0,0,0,0,0,0,0,0,0,1.242321302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Employers, total (% of total employment)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.230000019,2.200000048,2.130000114,2.039999962,
Expense (% of GDP),0,0,0,0,0,0,0,0,0,0,0,0,11.19565474,11.32673845,12.68522268,13.29865655,13.95738484,14.60345971,15.61671433,16.33931345,16.82797798,16.98518302,16.96066115,17.04062335,16.42413723,15.89775305,15.62096642,15.30135548,14.8431346,15.20327743,14.21297454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38758879,15.11834675,14.27960974,15.55720329,18.41125963,17.42206866,18.81741972,18.36657796,18.43030544,17.84344109,0,
