Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Fertility rate, total (births per woman)",3.654,3.62,3.461,3.319,3.19,2.913,2.721,2.558,2.464,2.456,2.48,2.266,2.01,1.879,1.835,1.774,1.738,1.79,1.76,1.808,1.8395,1.812,1.8275,1.799,1.8065,1.844,1.8375,1.872,1.934,2.014,2.081,2.0625,2.046,2.0195,2.0015,1.978,1.976,1.971,1.999,2.0075,2.056,2.0305,2.0205,2.0475,2.0515,2.057,2.108,2.12,2.072,2.002,1.931,1.8945,1.8805,1.8575,1.8625,1.843,0
"Unemployment, total (% of total labor force) (national estimate)",5.53000021,6.690000057,5.539999962,5.670000076,5.179999828,4.519999981,3.789999962,3.849999905,3.579999924,3.50999999,4.940000057,5.940000057,5.610000134,4.880000114,5.610000134,8.460000038,7.699999809,7.059999943,6.070000172,5.849999905,7.139999866,7.610000134,9.68999958,9.609999657,7.519999981,7.199999809,6.989999771,6.190000057,5.510000229,5.269999981,5.599999905,6.829999924,7.5,6.920000076,6.099999905,5.599999905,5.400000095,4.940000057,4.510000229,4.21999979,3.99000001,4.730000019,5.78000021,5.989999771,5.53000021,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.380000114,6.170000076,5.28000021,4.869999886
"Air transport, passengers carried",0,0,0,0,0,0,0,0,0,0,163448992,174143104,191325408,202309200,207612400,204900400,223017296,240144992,273025504,313624000,295329088,281086400,290992608,315600096,340191488,372059104,414554496,441832704,454202912,453161504,464574016,452015904,466964992,469926112,514924000,533512096,571072000,590571392,588170880,634364608,665327414,622187846,598410415,588997110,678110608,720547738,725530965,744302310,701779551,679423408,720497000,730796000,736699000,743171000,762710000,798230000,0
"Birth rate, crude (per 1,000 people)",23.7,23.3,22.4,21.7,21.1,19.4,18.4,17.8,17.6,17.9,18.4,17.2,15.6,14.8,14.8,14.6,14.6,15.1,15,15.6,15.9,15.8,15.9,15.6,15.6,15.8,15.6,15.7,16,16.4,16.7,16.2,15.8,15.4,15,14.6,14.4,14.2,14.3,14.2,14.4,14.1,14,14.1,14,14,14.3,14.3,14,13.5,13,12.7,12.6,12.4,12.5,12.4,0
"Central government debt, total (% of GDP)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.02581222,43.14391042,45.377199,48.63296223,50.60160118,50.16574309,49.34752909,49.23656652,46.71735924,43.29968642,39.9770364,37.61227018,33.15822343,51.99369713,53.50290603,55.96865343,56.38405374,56.28912656,55.29416087,55.63428695,64.03180007,76.31532133,85.60159424,90.17879709,94.39790953,96.60880434,97.1084803,97.8391384,0
Cost of business start-up procedures (% of GNI per capita),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.8,0.8,0.7,0.7,0.7,1.4,1.4,1.4,1.2,1.2,1.1,1.1
Cost to export (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,576,576,594,630,630,630,654,1164,1224,0,0
Consumer price index (2010 = 100),13.57216597,13.71809144,13.87119514,14.03960921,14.22333364,14.46064438,14.89316233,15.30654231,15.95212958,16.81588961,17.80723607,18.56509938,19.17879004,20.37172303,22.61979567,24.68541975,26.10162896,27.7947007,29.92029039,33.2911235,37.78854466,41.68663482,44.25478835,45.67644476,47.64841978,49.3452355,50.26243319,52.14268844,54.23313484,56.8509699,59.91976049,62.45734075,64.34906098,66.24842452,67.9758135,69.88282035,71.93122852,73.61275761,74.75543306,76.39110227,78.97072076,81.20256846,82.49046688,84.36307882,86.62167812,89.56053237,92.44970508,95.08699238,98.73747739,98.38641997,100,103.1568416,105.2915045,106.8338489,108.5669321,108.695722,110.0670089
Cost to import (US$ per container),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696,696,696,747,789,789,789,789,1289,1289,0,0
"Current education expenditure, total (% of total expenditure in public institutions)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.45605,88.85655,88.54251,88.47059,88.8901,89.2668,88.79603,88.69388,88.8342,88.75917,89.46582,90.12039,89.912,90.44444,89.33739,91.39937,0,0,0
